Compound,Date,Negative,Neutral,Positive,Tweets Ago
0.3818,Sat Feb 03 08:54:23 +0000 2018,0.0,0.89,0.11,248
-0.6369,Sat Feb 03 08:54:23 +0000 2018,0.372,0.479,0.149,249
-0.7003,Sat Feb 03 08:54:21 +0000 2018,0.225,0.775,0.0,250
0.0,Sat Feb 03 08:54:21 +0000 2018,0.0,1.0,0.0,251
-0.1779,Sat Feb 03 08:54:21 +0000 2018,0.257,0.585,0.158,252
0.228,Sat Feb 03 08:54:15 +0000 2018,0.158,0.594,0.248,253
-0.296,Sat Feb 03 08:54:09 +0000 2018,0.084,0.916,0.0,254
0.0,Sat Feb 03 08:54:08 +0000 2018,0.0,1.0,0.0,255
0.4019,Sat Feb 03 08:54:02 +0000 2018,0.0,0.856,0.144,256
0.0,Sat Feb 03 08:53:58 +0000 2018,0.0,1.0,0.0,257
0.6696,Sat Feb 03 08:53:52 +0000 2018,0.0,0.728,0.272,258
-0.5267,Sat Feb 03 08:53:51 +0000 2018,0.278,0.722,0.0,259
0.4404,Sat Feb 03 08:53:44 +0000 2018,0.0,0.879,0.121,260
0.0,Sat Feb 03 08:53:41 +0000 2018,0.0,1.0,0.0,261
-0.6115,Sat Feb 03 08:53:34 +0000 2018,0.166,0.834,0.0,262
0.1311,Sat Feb 03 08:53:32 +0000 2018,0.114,0.756,0.13,263
-0.3818,Sat Feb 03 08:53:27 +0000 2018,0.098,0.902,0.0,264
-0.8316,Sat Feb 03 08:53:20 +0000 2018,0.468,0.532,0.0,265
0.25,Sat Feb 03 08:53:18 +0000 2018,0.0,0.9,0.1,266
0.0,Sat Feb 03 08:53:14 +0000 2018,0.0,1.0,0.0,267
0.6597,Sat Feb 03 08:53:13 +0000 2018,0.0,0.803,0.197,268
0.2023,Sat Feb 03 08:53:13 +0000 2018,0.0,0.913,0.087,269
0.0,Sat Feb 03 08:53:09 +0000 2018,0.0,1.0,0.0,270
0.0,Sat Feb 03 08:53:04 +0000 2018,0.0,1.0,0.0,271
-0.296,Sat Feb 03 08:53:01 +0000 2018,0.078,0.922,0.0,272
0.0,Sat Feb 03 08:52:51 +0000 2018,0.0,1.0,0.0,273
-0.6249,Sat Feb 03 08:52:51 +0000 2018,0.317,0.683,0.0,274
0.0,Sat Feb 03 08:52:49 +0000 2018,0.0,1.0,0.0,275
0.0,Sat Feb 03 08:52:46 +0000 2018,0.0,1.0,0.0,276
0.0772,Sat Feb 03 08:52:43 +0000 2018,0.0,0.915,0.085,277
-0.5994,Sat Feb 03 08:52:43 +0000 2018,0.214,0.786,0.0,278
-0.5994,Sat Feb 03 08:52:42 +0000 2018,0.214,0.786,0.0,279
-0.5574,Sat Feb 03 08:52:28 +0000 2018,0.159,0.841,0.0,280
-0.5574,Sat Feb 03 08:52:23 +0000 2018,0.184,0.816,0.0,281
0.0,Sat Feb 03 08:52:17 +0000 2018,0.0,1.0,0.0,282
0.0,Sat Feb 03 08:52:15 +0000 2018,0.0,1.0,0.0,283
0.0,Sat Feb 03 08:52:07 +0000 2018,0.0,1.0,0.0,284
-0.4767,Sat Feb 03 08:52:06 +0000 2018,0.147,0.853,0.0,285
0.0,Sat Feb 03 08:52:02 +0000 2018,0.0,1.0,0.0,286
